ICD-10 Code,GI Disease,On DDB?,Causes
K74.6,Cirrhosis of Liver,2729,Cystic fibrosis
K74.6,Cirrhosis of Liver,2729,Fasciola hepatica
K74.6,Cirrhosis of Liver,2729,Galactose-1-phosphate uridyltransferase deficiency
K74.6,Cirrhosis of Liver,2729,Glycogenosis type 3
K74.6,Cirrhosis of Liver,2729,Glycogenosis type 4
K74.6,Cirrhosis of Liver,2729,Glycogenosis type 9c
K74.6,Cirrhosis of Liver,2729,Graft versus host disease
K74.6,Cirrhosis of Liver,2729,Haemochromatosis
K74.6,Cirrhosis of Liver,2729,Haemosiderosis
K74.6,Cirrhosis of Liver,2729,Hepatic vein thrombosis
K74.6,Cirrhosis of Liver,2729,Hepatic venoocclusive disease with immunodeficiency
K74.6,Cirrhosis of Liver,2729,Hepatitis B
K74.6,Cirrhosis of Liver,2729,Hepatitis C
K74.6,Cirrhosis of Liver,2729,"Hypermanganesemia with dystonia, polycythemia, and cirrhosis"
K74.6,Cirrhosis of Liver,2729,Indian familial childhood cirrhosis
K74.6,Cirrhosis of Liver,2729,"Keratitis-ichthyosis-deafness syndrome, autosomal recessive"
K74.6,Cirrhosis of Liver,2729,Mainzer-Saldino disease
K74.6,Cirrhosis of Liver,2729,Neonatal haemochromatosis
K74.6,Cirrhosis of Liver,2729,North American Indian childhood cirrhosis
K74.6,Cirrhosis of Liver,2729,Parenteral nutrition
K74.6,Cirrhosis of Liver,2729,"Polycystic kidney disease, autosomal recessive"
K74.6,Cirrhosis of Liver,2729,Primary biliary cirrhosis
K74.6,Cirrhosis of Liver,2729,Primary sclerosing cholangitis
K74.6,Cirrhosis of Liver,2729,Progressive familial intrahepatic cholestasis type 2
K74.6,Cirrhosis of Liver,2729,Progressive familial intrahepatic cholestasis type 3
K74.6,Cirrhosis of Liver,2729,Schistosoma haematobium
K74.6,Cirrhosis of Liver,2729,Schistosoma japonicum
K74.6,Cirrhosis of Liver,2729,Schistosoma mansoni
K74.6,Cirrhosis of Liver,2729,Sensenbrenner syndrome
K74.6,Cirrhosis of Liver,2729,Sickle cell disease
K74.6,Cirrhosis of Liver,2729,"Steatohepatitis, non-alcoholic"
K74.6,Cirrhosis of Liver,2729,Trichohepatoenteric syndrome 1
K74.6,Cirrhosis of Liver,2729,Tyrosinaemia type 1
K74.6,Cirrhosis of Liver,2729,UROD-related porphyria cutanea tarda
K74.6,Cirrhosis of Liver,2729,Visceral leishmaniasis
K74.6,Cirrhosis of Liver,2729,Wilson disease
K74.6,Cirrhosis of Liver,2729,Zellweger spectrum
K74.3,Primary Biliary Cirrhosis,10615,
K75.0,Abscess of Liver,22094,Cholangitis
K75.0,Abscess of Liver,22094,Cholecystitis
K75.0,Abscess of Liver,22094,Congenital listeriosis
K75.0,Abscess of Liver,22094,Entamoeba histolytica
K75.0,Abscess of Liver,22094,Lemierre syndrome
K75.0,Abscess of Liver,22094,Melioidosis
K75.0,Abscess of Liver,22094,Peritonitis
K75.0,Abscess of Liver,22094,Streptococcus milleri
K76.0,Fatty Liver,18844,3-alpha-hydroxyacyl-CoA dehydrogenase deficiency
K76.0,Fatty Liver,18844,Abetalipoproteinaemia
K76.0,Fatty Liver,18844,Acute fatty liver of pregnancy
K76.0,Fatty Liver,18844,Chanarin-Dorfman disease
K76.0,Fatty Liver,18844,Citrullinemia type 2
K76.0,Fatty Liver,18844,Congenital generalized lipodystrophy type 1
K76.0,Fatty Liver,18844,Congenital generalized lipodystrophy type 2
K76.0,Fatty Liver,18844,Cystic fibrosis
K76.0,Fatty Liver,18844,Diabetes mellitus type 2
K76.0,Fatty Liver,18844,"Fructose-1, 6-diphosphatase deficiency"
K76.0,Fatty Liver,18844,Kwashiorkor
K76.0,Fatty Liver,18844,Long-chain acyl-CoA dehydrogenase deficiency
K76.0,Fatty Liver,18844,Medium chain acyl-CoA dehydrogenase deficiency
K76.0,Fatty Liver,18844,Neutral lipid storage disease with myopathy
K76.0,Fatty Liver,18844,Parenteral nutrition
K76.0,Fatty Liver,18844,Patent ductus venosus
K76.0,Fatty Liver,18844,Pregnancy
K76.0,Fatty Liver,18844,"Steatohepatitis, non-alcoholic"
K76.0,Fatty Liver,18844,Very long-chain acyl-CoA dehydrogenase deficiency
K76.0,Fatty Liver,18844,Wilson disease
K76.6,Portal Hypertension,10388,Cirrhosis of liver
K76.6,Portal Hypertension,10388,Cruveilhier-Baumgarten syndrome
K76.6,Portal Hypertension,10388,Hepatic arterioportal fistula
K76.6,Portal Hypertension,10388,Hepatic portal vein obstruction
K76.6,Portal Hypertension,10388,Hepatic vein occlusion
K76.6,Portal Hypertension,10388,Hepatic vein thrombosis
K76.6,Portal Hypertension,10388,Pancreatic cancer
K76.6,Portal Hypertension,10388,"Polycystic kidney disease, adult (autosomal dominant)"
K76.6,Portal Hypertension,10388,"Polycystic kidney disease, autosomal recessive"
K76.6,Portal Hypertension,10388,Primary sclerosing cholangitis
K76.6,Portal Hypertension,10388,Schistosoma japonicum
K76.6,Portal Hypertension,10388,Schistosoma mansoni
K76.7,Hepatorenal Syndrome,5810,Cirrhosis of liver
K76.7,Hepatorenal Syndrome,5810,Hepatic failure
K76.7,Hepatorenal Syndrome,5810,Portal hypertension
K80,Cholelithiasis,2533,Cystic fibrosis
K80,Cholelithiasis,2533,Erythropoietic protoporphyria
K80,Cholelithiasis,2533,Haemoglobin E disease
K80,Cholelithiasis,2533,Haemolytic anaemia
K80,Cholelithiasis,2533,Hypercalcaemia
K80,Cholelithiasis,2533,Sickle cell disease
K80,Cholelithiasis,2533,Somatostatinoma
K80,Cholelithiasis,2533,"Spherocytosis, hereditary, type 1"
K80,Cholelithiasis,2533,Cholecystitis
K81,Cholecystitis,2520,
K82.0,Obstruction of Gallbladder,,
K82.1,Hydrops of Gallbladder,,
K82.2,Perforation of Gallbladder,5075,
K82.4,Cholesterolosis of Gallbladder,31524,
K83.4,Spasm of Sphincter of Oddi,12297,
K85,Acute Pancreatitis,9539,Apolipoprotein C-II deficiency
K85,Acute Pancreatitis,9539,Ascariasis
K85,Acute Pancreatitis,9539,Campylobacter jejuni
K85,Acute Pancreatitis,9539,Cholangiocarcinoma
K85,Acute Pancreatitis,9539,Choledochal cyst
K85,Acute Pancreatitis,9539,Choledocholithiasis
K85,Acute Pancreatitis,9539,Cholelithiasis
K85,Acute Pancreatitis,9539,Cholesterol embolism
K85,Acute Pancreatitis,9539,Congenital generalized lipodystrophy type 1
K85,Acute Pancreatitis,9539,Congenital generalized lipodystrophy type 2
K85,Acute Pancreatitis,9539,Duodenal ulcer
K85,Acute Pancreatitis,9539,Familial hypertriglyceridaemia
K85,Acute Pancreatitis,9539,Gastric ulcer
K85,Acute Pancreatitis,9539,HIV-1 disease
K85,Acute Pancreatitis,9539,Human enterovirus B
K85,Acute Pancreatitis,9539,Hypercalcaemia
K85,Acute Pancreatitis,9539,"Hyperparathyroidism, primary"
K85,Acute Pancreatitis,9539,Hypothermia
K85,Acute Pancreatitis,9539,Lipoprotein lipase deficiency
K85,Acute Pancreatitis,9539,Mumps
K85,Acute Pancreatitis,9539,Mycoplasma pneumoniae
K85,Acute Pancreatitis,9539,Pancreatic cancer
K85,Acute Pancreatitis,9539,"Pancreatitis, hereditary"
K85,Acute Pancreatitis,9539,Polyarteritis nodosa
K85,Acute Pancreatitis,9539,Reye syndrome
K85,Acute Pancreatitis,9539,Teniasis
K85,Acute Pancreatitis,9539,Varicella-zoster virus
K86.3,Pseudocyst of Pancreas,9530,"Pancreatitis, acute"
K86.3,Pseudocyst of Pancreas,9530,"Pancreatitis, chronic"
K90,Intestinal Malabsorption,7698,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency
K90,Intestinal Malabsorption,7698,Abetalipoproteinaemia
K90,Intestinal Malabsorption,7698,Alagille syndrome
K90,Intestinal Malabsorption,7698,Alpha heavy chain disease
K90,Intestinal Malabsorption,7698,Amyloidosis
K90,Intestinal Malabsorption,7698,Amyloidosis
K90,Intestinal Malabsorption,7698,Apolipoprotein B deficiency
K90,Intestinal Malabsorption,7698,Autoimmune polyendocrine syndrome type 1
K90,Intestinal Malabsorption,7698,Bacterial overgrowth of small intestine
K90,Intestinal Malabsorption,7698,Bile acid malabsorption syndrome
K90,Intestinal Malabsorption,7698,Canada-Cronkhite syndrome
K90,Intestinal Malabsorption,7698,Carcinoid tumours and carcinoid syndrome
K90,Intestinal Malabsorption,7698,Celiac disease
K90,Intestinal Malabsorption,7698,Cholestatic jaundice
K90,Intestinal Malabsorption,7698,Cholesterol ester storage disease
K90,Intestinal Malabsorption,7698,Chronic granulomatous disease
K90,Intestinal Malabsorption,7698,Chylomicron retention disease
K90,Intestinal Malabsorption,7698,Common variable hypogammaglobulinaemia
K90,Intestinal Malabsorption,7698,Crohn disease
K90,Intestinal Malabsorption,7698,Cystic fibrosis
K90,Intestinal Malabsorption,7698,Diabetes-pancreatic exocrine dysfunction syndrome
K90,Intestinal Malabsorption,7698,Fasciolopsis buski
K90,Intestinal Malabsorption,7698,Giardia lamblia
K90,Intestinal Malabsorption,7698,Hypogammaglobulinaemia
K90,Intestinal Malabsorption,7698,Intestinal enteropeptidase deficiency
K90,Intestinal Malabsorption,7698,Intestinal lymphangiectasia
K90,Intestinal Malabsorption,7698,Johanson-Blizzard syndrome
K90,Intestinal Malabsorption,7698,Lactase deficiency
K90,Intestinal Malabsorption,7698,Laxative abuse
K90,Intestinal Malabsorption,7698,Mastocytosis
K90,Intestinal Malabsorption,7698,Menetrier disease
K90,Intestinal Malabsorption,7698,"Pancreatitis, chronic"
K90,Intestinal Malabsorption,7698,Pearson marrow-pancreas syndrome
K90,Intestinal Malabsorption,7698,Postgastrectomy syndrome
K90,Intestinal Malabsorption,7698,Short bowel syndrome
K90,Intestinal Malabsorption,7698,Shwachman-Diamond syndrome
K90,Intestinal Malabsorption,7698,Small bowel lymphoma
K90,Intestinal Malabsorption,7698,Strongyloidiasis
K90,Intestinal Malabsorption,7698,Sucrase-isomaltase deficiency
K90,Intestinal Malabsorption,7698,Systemic sclerosis
K90,Intestinal Malabsorption,7698,Trichohepatoenteric syndrome 1
K90,Intestinal Malabsorption,7698,Tropical sprue
K90,Intestinal Malabsorption,7698,Trypsinogen deficiency
K90,Intestinal Malabsorption,7698,Whipple disease
K90.0,Coeliac Disease,2922,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency
K90.0,Coeliac Disease,2922,Abetalipoproteinaemia
K90.0,Coeliac Disease,2922,Alagille syndrome
K90.0,Coeliac Disease,2922,Alpha heavy chain disease
K90.0,Coeliac Disease,2922,Amyloidosis
K90.0,Coeliac Disease,2922,Apolipoprotein B deficiency
K90.0,Coeliac Disease,2922,Autoimmune polyendocrine syndrome type 1
K90.0,Coeliac Disease,2922,Bacterial overgrowth of small intestine
K90.0,Coeliac Disease,2922,Bile acid malabsorption syndrome
K90.0,Coeliac Disease,2922,Canada-Cronkhite syndrome
K90.0,Coeliac Disease,2922,Carcinoid tumours and carcinoid syndrome
K90.0,Coeliac Disease,2922,Celiac disease
K90.0,Coeliac Disease,2922,Cholestatic jaundice
K90.0,Coeliac Disease,2922,Cholesterol ester storage disease
K90.0,Coeliac Disease,2922,Chronic granulomatous disease
K90.0,Coeliac Disease,2922,Chylomicron retention disease
K90.0,Coeliac Disease,2922,Common variable hypogammaglobulinaemia
K90.0,Coeliac Disease,2922,Crohn disease
K90.0,Coeliac Disease,2922,Cystic fibrosis
K90.0,Coeliac Disease,2922,Diabetes-pancreatic exocrine dysfunction syndrome
K90.0,Coeliac Disease,2922,Fasciolopsis buski
K90.0,Coeliac Disease,2922,Giardia lamblia
K90.0,Coeliac Disease,2922,Hypogammaglobulinaemia
K90.0,Coeliac Disease,2922,Intestinal enteropeptidase deficiency
K90.0,Coeliac Disease,2922,Intestinal lymphangiectasia
K90.0,Coeliac Disease,2922,Johanson-Blizzard syndrome
K90.0,Coeliac Disease,2922,Lactase deficiency
K90.0,Coeliac Disease,2922,Laxative abuse
K90.0,Coeliac Disease,2922,Mastocytosis
K90.0,Coeliac Disease,2922,Menetrier disease
K90.0,Coeliac Disease,2922,"Pancreatitis, chronic"
K90.0,Coeliac Disease,2922,Pearson marrow-pancreas syndrome
K90.0,Coeliac Disease,2922,Postgastrectomy syndrome
K90.0,Coeliac Disease,2922,Short bowel syndrome
K90.0,Coeliac Disease,2922,Shwachman-Diamond syndrome
K90.0,Coeliac Disease,2922,Small bowel lymphoma
K90.0,Coeliac Disease,2922,Strongyloidiasis
K90.0,Coeliac Disease,2922,Sucrase-isomaltase deficiency
K90.0,Coeliac Disease,2922,Systemic sclerosis
K90.0,Coeliac Disease,2922,Trichohepatoenteric syndrome 1
K90.0,Coeliac Disease,2922,Tropical sprue
K90.0,Coeliac Disease,2922,Trypsinogen deficiency
K90.0,Coeliac Disease,2922,Whipple disease
K90.1,Tropical Sprue,13393,
K90.2,Blind Loop Syndrome,29514,
K91.1,Postgastric Surgery Syndromes,5103,
K91.5,Postcholecystectomy Syndrome,,
K92.2,Gastrointestinal Haemorrhage,19317,Gastroduodenal ulcers
K92.2,Gastrointestinal Haemorrhage,19317,Colitis
K92.2,Gastrointestinal Haemorrhage,19317,Proctitis
K92.2,Gastrointestinal Haemorrhage,19317,Colitis cystica profunda
K92.2,Gastrointestinal Haemorrhage,19317,Dieulafoy ulcer
K92.2,Gastrointestinal Haemorrhage,19317,Haemorrhoids
K92.2,Gastrointestinal Haemorrhage,19317,Hepatic arterioportal fistula
K92.2,Gastrointestinal Haemorrhage,19317,Pneumatosis cystoides intestinalis
K92.2,Gastrointestinal Haemorrhage,19317,Portal hypertension
K92.2,Gastrointestinal Haemorrhage,19317,"Renal failure, chronic"
K92.2,Gastrointestinal Haemorrhage,19317,Solitary rectal ulcer syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Esophageal cyst
K92.2,Gastrointestinal Haemorrhage,19317,Meckel diverticulitis
K92.2,Gastrointestinal Haemorrhage,19317,Carbamoylphosphate synthetase deficiency
K92.2,Gastrointestinal Haemorrhage,19317,Ehlers-Danlos syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Blue rubber bleb nevus syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Familial adenomatous polyposis
K92.2,Gastrointestinal Haemorrhage,19317,Gardner syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Hereditary haemorrhagic telangiectasia
K92.2,Gastrointestinal Haemorrhage,19317,Neurofibromatosis type 1
K92.2,Gastrointestinal Haemorrhage,19317,Peutz-Jeghers syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Carbamoylphosphate synthetase deficiency
K92.2,Gastrointestinal Haemorrhage,19317,Coats plus syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Craniomandibular dermatodysostosis
K92.2,Gastrointestinal Haemorrhage,19317,Labrune syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Pseudoxanthoma elasticum
K92.2,Gastrointestinal Haemorrhage,19317,Wiskott-Aldrich syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Colonic diverticulosis
K92.2,Gastrointestinal Haemorrhage,19317,Angiodysplasia
K92.2,Gastrointestinal Haemorrhage,19317,Cholesterol embolism
K92.2,Gastrointestinal Haemorrhage,19317,Oesophageal varices
K92.2,Gastrointestinal Haemorrhage,19317,Superior mesenteric artery occlusion
K92.2,Gastrointestinal Haemorrhage,19317,Crohn disease
K92.2,Gastrointestinal Haemorrhage,19317,Degos' disease
K92.2,Gastrointestinal Haemorrhage,19317,Henoch-Sch_nlein purpura
K92.2,Gastrointestinal Haemorrhage,19317,Microscopic polyangiitis
K92.2,Gastrointestinal Haemorrhage,19317,Ulcerative colitis
K92.2,Gastrointestinal Haemorrhage,19317,Watermelon stomach
K92.2,Gastrointestinal Haemorrhage,19317,Colonic diverticulitis
K92.2,Gastrointestinal Haemorrhage,19317,Colonic tubular adenomata
K92.2,Gastrointestinal Haemorrhage,19317,Vasculitis
K92.2,Gastrointestinal Haemorrhage,19317,Anal cancer
K92.2,Gastrointestinal Haemorrhage,19317,Colonic villous adenomata
K92.2,Gastrointestinal Haemorrhage,19317,Colorectal cancer
K92.2,Gastrointestinal Haemorrhage,19317,Kaposi sarcoma
K92.2,Gastrointestinal Haemorrhage,19317,Oesophageal cancer
K92.2,Gastrointestinal Haemorrhage,19317,Endometriosis
K92.2,Gastrointestinal Haemorrhage,19317,Small bowel lymphoma
K92.2,Gastrointestinal Haemorrhage,19317,Anal fissure
K92.2,Gastrointestinal Haemorrhage,19317,Bowel strangulation
K92.2,Gastrointestinal Haemorrhage,19317,"Foreign body, rectal"
K92.2,Gastrointestinal Haemorrhage,19317,Gastric volvulus
K92.2,Gastrointestinal Haemorrhage,19317,Intususception of intestine
K92.2,Gastrointestinal Haemorrhage,19317,Mallory-Weiss syndrome
K92.2,Gastrointestinal Haemorrhage,19317,Oesophageal foreign body
K92.2,Gastrointestinal Haemorrhage,19317,Pelvic fracture
K92.2,Gastrointestinal Haemorrhage,19317,Acanthocephaliasis
K92.2,Gastrointestinal Haemorrhage,19317,Ancylostoma ceylanicum
K92.2,Gastrointestinal Haemorrhage,19317,Ancylostoma duodenale
K92.2,Gastrointestinal Haemorrhage,19317,Angiostrongyliasis
K92.2,Gastrointestinal Haemorrhage,19317,Necator americanus (hookworm)
K92.2,Gastrointestinal Haemorrhage,19317,Schistosoma mansoni
K92.2,Gastrointestinal Haemorrhage,19317,Strongyloidiasis
K92.2,Gastrointestinal Haemorrhage,19317,Trichuriasis
K92.2,Gastrointestinal Haemorrhage,19317,Balantidiasis
K92.2,Gastrointestinal Haemorrhage,19317,Entamoeba histolytica
K92.2,Gastrointestinal Haemorrhage,19317,Anthrax
K92.2,Gastrointestinal Haemorrhage,19317,Bacillary dysentery
K92.2,Gastrointestinal Haemorrhage,19317,Typhoid fever
